execution_time,planning_time,total_rows,total_loops,node_types,max_depth,has_seq_scan,has_sort,has_index_scan,workers_launched,query_id
1378.733,7.887,195129,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.15
1378.542,7.886,198526,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.1
1378.538,7.887,196978,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.12
1384.687,7.947,296940,8,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,1,query1.10
1199.835,0.517,198232,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.17
2662.086,7.906,587366,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.14
1191.537,0.38,198618,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.16
1198.91,0.392,197309,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.19
2780.379,7.948,589220,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.13
2795.049,7.906,595386,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.100
2970.053,7.844,592394,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.11
1694.478,0.471,296670,8,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,1,query1.18
1066.079,0.389,196772,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.20
1098.973,0.554,198128,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.2
1290.895,0.516,195555,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.22
1253.714,0.463,197126,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.27
1782.783,0.393,296391,8,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,1,query1.26
1276.833,0.389,196564,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.28
1275.002,0.396,195964,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.29
3102.593,0.427,588532,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.21
3217.272,0.48,596505,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.23
1194.738,0.455,197669,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.3
1176.987,0.397,195304,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.30
3222.696,1.197,595386,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.24
3314.273,0.582,594175,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.25
1273.937,0.388,198331,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.32
1789.051,0.496,298060,8,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,1,query1.31
1074.586,0.475,196911,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.35
1020.288,0.629,197427,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.34
1098.579,0.492,198576,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.39
1170.841,0.452,198180,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.40
1370.535,0.434,197730,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.41
1694.424,0.525,295764,8,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,1,query1.4
3069.742,0.398,593675,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.33
1274.886,0.555,197248,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.42
3100.808,61.238,589005,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.36
3212.234,0.603,587130,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.37
1156.981,0.407,196630,11,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,2,query1.43
3311.09,0.631,585074,5,"{'Aggregate': 2, 'Gather Merge': 1, 'Sort': 1, 'Seq Scan': 1}",5,True,True,False,0,query1.38
