execution_time,planning_time,total_rows,total_loops,node_types,max_depth,has_seq_scan,has_sort,has_index_scan,workers_launched,query_id
154.444,5.85,28344,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.1
115.904,0.201,28147,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.10
106.393,0.322,27727,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.100
99.368,0.286,27577,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.11
106.469,0.391,28510,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.12
105.071,0.195,27190,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.13
91.394,0.245,27978,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.14
97.654,0.307,27961,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.15
106.264,0.373,28251,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.16
104.797,0.346,27513,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.17
100.267,0.265,28309,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.18
108.535,0.237,27621,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.19
109.3,0.285,27614,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.2
106.726,0.317,28188,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.20
106.164,0.312,27283,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.21
101.22,0.387,27927,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.22
93.212,0.189,27922,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.23
98.064,0.192,28053,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.24
111.7,0.328,28422,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.25
114.586,0.334,27951,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.26
111.361,0.38,28147,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.27
94.986,0.5,27121,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.28
100.514,0.227,28507,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.29
110.15,0.358,28186,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.3
110.296,0.435,27183,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.30
127.543,0.449,27987,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.31
84.035,0.305,28251,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.32
87.22,0.197,28246,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.33
104.624,0.253,27516,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.34
89.685,0.196,28298,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.35
92.096,0.285,28047,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.36
98.04,0.199,28184,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.37
93.141,0.194,27276,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.38
91.878,0.396,27624,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.39
106.569,0.283,27583,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.4
110.845,0.191,27928,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.40
114.374,0.454,28047,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.41
110.664,0.289,28423,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.42
102.326,0.328,28093,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.43
107.624,0.23,28137,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.44
104.432,0.301,27119,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.45
106.336,0.427,28379,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.46
99.484,0.323,27180,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.47
112.086,0.198,27988,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.48
106.752,0.357,28256,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.49
127.45,0.314,27928,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.5
108.008,0.323,28048,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.50
108.9,0.399,27510,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.51
115.898,0.371,28294,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.52
115.835,0.281,28052,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.53
111.378,0.422,27911,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.54
111.837,0.435,27282,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.55
105.441,0.195,27628,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.56
86.968,0.216,27368,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.57
81.653,0.299,28061,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.58
93.681,0.313,28420,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.59
109.303,0.275,27932,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.6
101.305,0.433,28069,26,"{'Merge Join': 1, 'Aggregate': 5, 'Gather Merge': 2, 'Sort': 3, 'Seq Scan': 3}",7,True,True,False,4,query15.60
